Min seam : 447577.193431
[ 4999.           465.            34.68914706]
[ 4998.           466.           192.49347323]
[ 4997.           465.            63.52310563]
[ 4996.           466.           109.68061056]
[ 4995.           468.           108.79118951]
[  4.99400000e+03   4.67000000e+02   3.44012382e+00]
[ 4993.          467.           22.0599633]
[ 4992.           466.           172.14780915]
[ 4991.           467.            90.12536664]
[ 4990.           468.           109.61904689]
[ 4989.          469.           85.6495041]
[ 4988.           468.            23.61048622]
[ 4987.           468.            12.26056481]
[ 4986.           467.            10.15308321]
[ 4985.           468.           146.42843309]
[ 4984.           468.           113.84398683]
[  4.98300000e+03   4.67000000e+02   3.69028979e+00]
[ 4982.           468.            28.55582377]
[ 4981.           468.            44.17730385]
[ 4980.           467.           159.83643753]
[ 4979.           466.            25.63984961]
[ 4978.           467.           176.88120392]
[ 4977.           467.            40.79198315]
[ 4976.          466.           24.1272357]
[ 4975.           464.           109.08781873]
[ 4974.           463.            28.00817842]
[ 4973.          462.           10.5911793]
[ 4972.           462.           122.24282359]
[ 4971.           462.           177.52776044]
[ 4970.           463.            42.72757153]
[  4.96900000e+03   4.63000000e+02   3.42861822e+00]
[ 4968.           465.           133.88694333]
[ 4967.           464.            81.06812862]
[ 4966.           463.            11.62889778]
[ 4965.         463.          84.932122]
[ 4964.           462.            70.39719287]
[ 4963.          460.           64.2980542]
[ 4962.           461.            55.96599817]
[ 4961.          460.           16.6480803]
[ 4960.           460.           150.66386626]
[ 4959.           459.            31.27534818]
[ 4958.           458.            51.16044834]
[  4.95700000e+03   4.59000000e+02   2.44314317e+00]
[ 4956.          460.          107.2613298]
[ 4955.           461.           156.84951825]
[ 4954.           462.            21.00421646]
[ 4953.           461.            18.30991399]
[ 4952.           461.           160.40484823]
[ 4951.           461.            50.01886525]
[ 4950.           461.            90.15185934]
[ 4949.           462.           157.29509805]
[ 4948.           462.            10.44202391]
[ 4947.           463.           157.80671278]
[ 4946.           463.            55.85470926]
[  4.94500000e+03   4.62000000e+02   3.67585046e+00]
[ 4944.           461.           104.34321951]
[ 4943.          461.           26.3960357]
[ 4942.           460.           173.15794887]
[ 4941.           458.           139.01759622]
[ 4940.           458.            74.96852624]
[ 4939.           459.             7.38630225]
[ 4938.           458.            28.74582559]
[ 4937.           459.            84.84156862]
[ 4936.           459.            28.85104035]
[ 4935.           460.           133.37230341]
[ 4934.           462.           171.08385676]
[ 4933.           462.           129.72245993]
[ 4932.           462.            58.33809786]
[ 4931.          462.           36.2206708]
[ 4930.          461.           42.7499041]
[ 4929.           460.           157.62168269]
[ 4928.           461.            25.40080617]
[ 4927.           462.            31.58358061]
[ 4926.           464.            72.48444227]
[ 4925.           464.            19.51996588]
[ 4924.           465.            16.71521645]
[ 4923.           464.            85.09653937]
[ 4922.           463.            71.26027881]
[ 4921.           463.            32.57459748]
[ 4920.           464.           268.32142389]
[ 4919.           465.             7.99903872]
[ 4918.           464.            84.63473939]
[ 4917.           463.            22.53201026]
[ 4916.          462.          122.4813783]
[ 4915.           461.           129.78298752]
[ 4914.           461.            62.68620024]
[ 4913.           460.            13.04846807]
[ 4912.           461.            95.15629372]
[ 4911.           461.            51.84215287]
[ 4910.           463.           136.18265039]
[  4.90900000e+03   4.64000000e+02   2.62258632e+00]
[ 4908.           464.           102.92453869]
[ 4907.         463.          34.430069]
[ 4906.           464.            70.83356928]
[ 4905.           464.           203.49652654]
[ 4904.           463.           166.26939044]
[ 4903.           465.            84.07913661]
[ 4902.           465.            29.98403638]
[  4.90100000e+03   4.64000000e+02   1.76969276e+00]
[ 4900.           463.           112.76636627]
[ 4899.           463.            53.38874684]
[ 4898.           463.           121.12787625]
[ 4897.           465.           129.57688998]
[ 4896.           466.            10.29342662]
[ 4895.           465.            77.26749583]
[ 4894.           466.            30.62011444]
[ 4893.           465.            68.38964093]
[ 4892.           466.            81.64792867]
[ 4891.           465.            98.51759615]
[ 4890.           464.            15.74963781]
[ 4889.           465.            20.49684822]
[ 4888.           464.            43.63813048]
[ 4887.           464.            80.04547491]
[ 4886.           464.            40.49866797]
[ 4885.           463.           224.99319582]
[ 4884.          463.          185.8881311]
[ 4883.           463.            95.61833535]
[ 4882.           463.            61.67087865]
[ 4881.           461.           141.45468848]
[ 4880.           461.            87.13852717]
[ 4879.           462.            62.10408292]
[ 4878.           463.           124.51451542]
[ 4877.           462.            61.06295758]
[ 4876.           461.            14.79660453]
[ 4875.           461.            34.18971045]
[ 4874.           462.            13.58455099]
[ 4873.           464.           118.06708742]
[ 4872.           465.           361.07963129]
[ 4871.           465.            58.27325167]
[ 4870.           465.           117.59404066]
[ 4869.           464.            10.61538692]
[ 4868.           464.            33.12370315]
[ 4867.           463.             9.31155414]
[ 4866.          462.          150.1278253]
[ 4865.           461.            39.62803671]
[ 4864.           459.           302.07942776]
[ 4863.           460.            44.35347108]
[ 4862.           460.            87.56690845]
[ 4861.           459.            81.94271607]
[ 4860.           458.            38.98609428]
[ 4859.           457.           120.33445922]
[ 4858.           457.           215.73988296]
[ 4857.           459.           207.67988607]
[  4.85600000e+03   4.59000000e+02   1.60299016e+00]
[ 4855.           458.            92.42886383]
[ 4854.           458.            22.01969179]
[ 4853.           459.            29.63731744]
[ 4852.           459.             5.37534016]
[ 4851.           459.            52.87253513]
[ 4850.          459.          204.0846925]
[ 4849.           460.           121.98144271]
[ 4848.           462.           401.68699186]
[ 4847.           461.            26.33526697]
[ 4846.           463.           179.89877759]
[ 4845.           463.            77.97928832]
[ 4844.           464.           197.14036897]
[ 4843.           465.           130.89188875]
[ 4842.           464.            93.32810831]
[ 4841.           464.           114.04943773]
[  4.84000000e+03   4.65000000e+02   2.62727571e+00]
[ 4839.           465.           300.45467051]
[ 4838.           466.            76.88640132]
[ 4837.         465.          55.018709]
[ 4836.           465.           148.26005813]
[ 4835.           466.           231.27146715]
[ 4834.           467.            20.39497202]
[ 4833.           468.             9.96357458]
[ 4832.           469.            45.31246394]
[  4.83100000e+03   4.70000000e+02   4.43842573e+00]
[ 4830.           469.            31.73295943]
[ 4829.           470.             7.01364438]
[ 4828.           470.           342.09677041]
[ 4827.           471.           412.14634628]
[ 4826.           473.           111.81283066]
[ 4825.           473.           132.44529841]
[ 4824.           473.            55.86660511]
